IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription
;;;;;AmazonElastiCache;;;Tax%
;;;;;AmazonElastiCache;%NodeUsage:cache%;;
;;;;;AmazonElastiCache;%CreateCacheSnapshot%;;
;;;;;AmazonElastiCache;%ElastiCache:BackupUsage;;
;;;;;AmazonES;;;Tax%
;;;;;AmazonES;%DataTransfer%Bytes;;
;;;;;AmazonES;%AWS%Bytes;;
;;;;;AmazonES;%ES:GP2-Storage%;;
;;;;;AmazonES;%ES:Magnetic-Storage;;
;;;;;AmazonES;%ESInstance%;;
;;;;;AmazonES;%PIOPS%;;
;;;;;AmazonES;%CloudFront%;;
;;;;;AmazonQLDB;%Storage;;
;;;;;AmazonQLDB;%IO-Request;;
;;;;;awskms;;;Tax%
;;;;;awskms;%KMS-Requests;;
;;;;;awskms;%KMS-Keys;;
;;;;;CloudHSM;%CloudHSM%;;
;;;;;AmazonRekognition;;;
;;;;;AmazonTextract;%FormsPagesProcessed;;
;;;;;AmazonTextract;%TablesPagesProcessed;;
;;;;;AmazonTextract;%TextPagesProcessed;;
;;;;;AmazonLex;;;Tax%
;;;;;AmazonLex;%Req%;;
;;;;;AWSCodePipeline;;;Tax%
;;;;;AWSCodePipeline;%trialPipeline%;;
;;;;;AWSCodePipeline;%activePipeline%;;
;;;;;AmazonSES;;;Tax%
;;;;;AmazonSES;%Recipients%;;
;;;;;AmazonSES;%AttachmentsSize-Bytes;;
;;;;;AmazonSES;%ReceivedChunk%;;
;;;;;AmazonSES;%Message%;;
;;;;;AmazonSNS;;;Tax%
;;;;;AmazonSNS;%Requests-Tier1;;
;;;;;AmazonSNS;%Requests-Tier2;;
;;;;;AmazonSNS;%DeliveryAttempts-GCM;;
;;;;;AmazonSNS;%DeliveryAttempts-SMTP;;
;;;;;AmazonSNS;%DeliveryAttempts-HTTP;;
;;;;;AmazonSNS;%DeliveryAttempts-SQS;;
;;;;;AmazonSNS;%SMS-Price%;;
;;;;;AmazonSNS;%SMS-Sent%;;
;;;;;AmazonSNS;%DeliveryAttempts-APNS%;;
;;;;;AmazonSNS;%DeliveryAttempts-LAMBDA;;